Antibody RRID	Reliability (IF)
HPA063345: 	Approved
HPA024794: AB_1856039, HPA067546: 	Supported
CAB037312: AB_261933, HPA000263: AB_1856043, HPA000763: AB_1856042	Supported
HPA031727: AB_10602920, HPA031729: AB_10669915	Approved
CAB025109: , HPA071729: 	Supported
CAB009743: AB_655306, HPA030960: AB_10794912, HPA064259: 	Enhanced
CAB017800: , HPA025821: AB_1856168	Enhanced
HPA029971: AB_10611389	Supported
HPA042683: AB_2571730	Approved
HPA003895: AB_1845723, HPA069960: 	Approved
HPA003895: AB_1845723, HPA048015: 	Supported
HPA047894: , HPA048334: , HPA060705: 	Approved
HPA047894: , HPA048334: , HPA060705: 	Approved
CAB004264: AB_628017, CAB005030: AB_562171, HPA063461: 	Enhanced
CAB007753: AB_562340, HPA040506: 	Approved
HPA013377: AB_1844403	Supported
HPA077928: 	Uncertain
HPA046512: 	Approved
HPA062824: , HPA071518: 	Supported
HPA036022: AB_10610417	Supported
HPA029961: AB_10603233, HPA029962: 	Approved
CAB037240: AB_2179604, HPA051400: 	Supported
HPA041740: AB_10795694	Approved
CAB068222: , HPA006079: AB_1079801	Supported
CAB002581: AB_563673, HPA008356: AB_1847232, HPA008495: 	Approved
HPA012077: 	Supported
HPA011170: AB_1845713, HPA011844: 	Approved
HPA016492: AB_1853027	Approved
HPA007961: AB_1079802, HPA046513: 	Uncertain
HPA044534: , HPA051036: 	Approved
HPA064853: , HPA069382: 	Approved
HPA043414: AB_10797141	Approved
HPA042155: AB_10806233, HPA042552: AB_10794280	Supported
HPA038450: AB_10672516, HPA038451: AB_10697391	Supported
HPA047006: 	Supported
HPA040755: AB_10965790, HPA040868: AB_10963549	Approved
CAB009520: AB_2178317, HPA046116: , HPA069306: 	Enhanced
HPA029493: AB_10603991	Supported
HPA030149: AB_10602921	Supported
CAB004557: AB_2178593, HPA049123: AB_2680642, HPA058507: AB_2683736	Enhanced
HPA041037: AB_10805834	Approved
CAB016546: AB_630417	Approved
CAB008096: AB_2178607, HPA017910: AB_1856189, HPA019492: AB_1856190	Approved
CAB033887: AB_2178617, HPA023259: , HPA057163: 	Approved
HPA058911: , HPA078021: 	Approved
HPA030879: , HPA060388: 	Approved
HPA011564: AB_1079803, HPA031673: 	Supported
HPA048320: , HPA072380: 	Approved
HPA046608: , HPA048320: , HPA072380: 	Approved
HPA048320: , HPA072380: 	Approved
HPA046368: 	Approved
HPA046368: 	Approved
HPA060327: , HPA069022: 	Approved
HPA048258: , HPA075649: 	Enhanced
HPA048722: , HPA052966: 	Enhanced
HPA048969: AB_2680577	Approved
HPA035689: AB_10671224	Approved
HPA050527: 	Approved
HPA035462: AB_10602152	Approved
HPA059745: 	Approved
HPA049157: , HPA053330: 	Enhanced
HPA032035: 	Approved
HPA035638: AB_10670152, HPA063701: 	Supported
HPA019788: AB_1856215	Approved
HPA047039: , HPA053444: 	Approved
HPA042763: AB_10968569, HPA043615: AB_10959470, HPA064578: 	Uncertain
HPA035979: AB_10673227	Approved
CAB012343: AB_777667, HPA039880: , HPA044222: 	Approved
HPA016993: AB_1856216	Approved
HPA029102: AB_10599846, HPA029103: AB_10602097	Approved
HPA020414: AB_1852289, HPA021085: AB_1852291	Supported
HPA049497: , HPA051675: , HPA067564: 	Approved
HPA049497: , HPA051675: , HPA067564: 	Approved
HPA049497: , HPA051675: , HPA067564: 	Approved
HPA049497: , HPA051675: , HPA067564: 	Uncertain
HPA045704: , HPA049497: , HPA051675: , HPA067564: 	Uncertain
HPA045704: , HPA049497: , HPA051675: , HPA067564: 	Uncertain
HPA045704: , HPA049497: , HPA051675: , HPA067564: 	Uncertain
CAB004559: AB_628216, HPA021305: AB_1856225, HPA058485: 	Supported
HPA054646: , HPA067421: 	Supported
HPA046847: , HPA061819: 	Approved
HPA053250: , HPA055824: 	Approved
HPA022276: AB_10794628, HPA056493: 	Approved
HPA028727: , HPA045780: AB_10962728	Approved
HPA056384: , HPA069984: 	Supported
HPA013385: 	Supported
HPA044234: 	Supported
HPA030802: AB_10602295	Approved
HPA003067: AB_1079807	Approved
CAB017561: AB_2285043	Supported
HPA039600: 	Uncertain
HPA013550: , HPA014137: 	Approved
HPA049791: 	Approved
HPA046051: , HPA055331: 	Approved
HPA013972: AB_2178629, HPA057125: 	Supported
HPA045074: AB_10965705, HPA051960: AB_2681673	Enhanced
HPA043979: AB_10960539	Approved
HPA077399: 	Uncertain
HPA030359: , HPA030360: , HPA046593: 	Approved
HPA042726: , HPA048489: 	Approved
HPA060951: , HPA077385: 	Uncertain
HPA060951: , HPA077385: 	Uncertain
HPA053111: , HPA061001: 	Uncertain
HPA037859: AB_10697084	Supported
CAB005052: AB_562216	Supported
HPA040205: , HPA040226: AB_10795377	Approved
HPA060938: 	Approved
HPA000265: 	Uncertain
HPA045912: , HPA076019: 	Approved
HPA030345: AB_10601607, HPA061314: 	Approved
HPA003050: AB_1079812	Approved
HPA044938: 	Approved
HPA012624: AB_1856272, HPA012895: AB_1856271	Supported
CAB020794: , HPA003314: AB_1855193	Approved
HPA003314: AB_1855193	Approved
HPA024288: AB_1856274, HPA024671: AB_1856275	Approved
HPA001150: 	Approved
CAB046012: AB_11129402, HPA041491: 	Supported
HPA037802: AB_10672286, HPA037803: 	Approved
HPA036887: , HPA036888: 	Uncertain
HPA045703: AB_10965795	Approved
HPA041314: AB_10795587	Approved
HPA028958: AB_10602124	Supported
HPA041494: , HPA044114: 	Approved
HPA001183: AB_1079205	Uncertain
HPA001183: AB_1079205	Uncertain
HPA001183: AB_1079205	Uncertain
HPA027826: AB_10603992	Uncertain
HPA059552: 	Approved
CAB079049: , HPA046538: , HPA066498: 	Approved
HPA055285: 	Approved
HPA060928: 	Approved
HPA035491: AB_10601608	Approved
HPA034641: AB_10671230	Approved
HPA008701: AB_1079814	Approved
HPA042083: AB_10793977, HPA042103: AB_10797380	Approved
HPA019875: AB_1856283, HPA031646: 	Approved
HPA017866: , HPA051446: 	Approved
HPA005681: AB_1856286	Approved
HPA001620: AB_1079815, HPA024184: AB_1856289	Approved
HPA003730: 	Supported
CAB013458: AB_2533432, HPA007603: AB_1853957, HPA008080: AB_1853960	Supported
CAB010302: AB_2178118, HPA015257: AB_1856294	Enhanced
HPA015273: AB_1856299, HPA016499: AB_1856300	Enhanced
HPA005923: AB_1078809	Approved
HPA051823: , HPA054759: 	Approved
HPA039094: AB_10671037, HPA039095: , HPA061531: 	Supported
HPA042051: , HPA044083: 	Supported
HPA054653: , HPA057300: 	Approved
HPA018895: AB_1856323	Supported
HPA043589: 	Uncertain
HPA026495: AB_1848414	Supported
HPA034705: , HPA034706: AB_10696362	Supported
HPA009975: AB_1078811, HPA074840: 	Enhanced
HPA021661: 	Supported
HPA040995: AB_10795531	Supported
HPA031397: , HPA031398: , HPA031399: AB_10601156	Supported
HPA046795: AB_10963573, HPA060843: 	Approved
HPA047778: 	Approved
HPA001140: AB_1079816	Approved
HPA042692: AB_10793981	Enhanced
HPA040084: AB_10697714, HPA041469: AB_2677496	Enhanced
HPA065375: 	Approved
HPA022961: AB_1845592, HPA024457: AB_1845593	Uncertain
CAB010906: AB_477444, HPA002633: AB_1856314	Supported
HPA077800: 	Supported
HPA052643: 	Approved
HPA038576: AB_10964492, HPA038577: AB_10960052	Supported
HPA015970: AB_1859103	Approved
HPA000160: AB_1079821, HPA076658: 	Supported
HPA021184: AB_1859185	Supported
HPA019130: AB_1859220	Approved
HPA046041: AB_10965850	Approved
HPA065983: , HPA071879: 	Approved
HPA041514: AB_10795596	Supported
HPA043050: AB_10794768	Approved
HPA064784: 	Supported
HPA021576: AB_1856331, HPA052404: 	Approved
HPA041101: AB_10805837	Approved
HPA008716: AB_1856337	Supported
HPA018133: AB_1859142	Approved
HPA049939: 	Approved
CAB046013: AB_11126028, HPA054127: , HPA072469: 	Approved
HPA036562: AB_10696657	Approved
HPA027158: AB_10600772, HPA027209: AB_10602312	Supported
HPA011424: AB_1079825	Approved
HPA021854: AB_10600307, HPA021991: AB_10601112, HPA023922: AB_10602202	Approved
HPA041615: , HPA047798: 	Approved
HPA042970: AB_10796682	Approved
HPA046109: 	Enhanced
HPA038505: , HPA046138: , HPA058368: 	Enhanced
HPA006897: AB_1856348	Approved
HPA046112: , HPA062121: 	Approved
HPA012309: AB_1856349	Approved
HPA030098: AB_10602923	Supported
HPA049587: 	Approved
HPA026803: AB_10602086	Enhanced
CAB012478: , HPA051773: 	Enhanced
HPA028378: AB_10601157, HPA042535: 	Approved
HPA021256: AB_1844331, HPA021429: AB_2180654	Enhanced
HPA003347: AB_1079204, HPA026790: AB_10602296	Supported
HPA039332: AB_10671874	Approved
HPA029427: , HPA056498: 	Approved
HPA018955: AB_1858500, HPA021123: AB_1858501	Supported
HPA034785: AB_10601496, HPA034786: AB_2674331	Approved
HPA027577: , HPA027578: AB_10601482	Approved
HPA011900: AB_10671089	Supported
HPA036420: , HPA036421: AB_10669604	Approved
HPA027620: AB_1856356	Approved
CAB009063: AB_2127706, HPA048745: 	Approved
HPA074151: 	Supported
HPA015853: AB_1856365	Supported
CAB019278: , HPA047115: 	Approved
HPA022047: , HPA049356: 	Supported
HPA041330: AB_10793872, HPA054227: 	Supported
HPA016812: AB_1856370	Approved
HPA038981: AB_10674846	Approved
CAB034107: AB_2238618, HPA065032: 	Supported
HPA039343: AB_2676456, HPA040048: AB_10672969	Supported
HPA036995: AB_10673627	Supported
HPA050731: , HPA064925: 	Supported
HPA013739: AB_1856382	Approved
HPA064161: 	Approved
HPA003750: AB_1856383	Approved
HPA039223: AB_10795581, HPA040781: AB_10796227	Enhanced
HPA039409: AB_10795289	Supported
HPA052434: 	Supported
HPA036074: AB_2674926, HPA036075: AB_10672999, HPA061487: 	Supported
HPA036772: AB_10670848	Approved
HPA044014: AB_10966286	Supported
CAB013524: , HPA052968: , HPA074461: 	Enhanced
HPA013371: AB_1856391	Approved
HPA071053: 	Approved
HPA065212: 	Approved
CAB008666: AB_1622617, HPA007459: AB_1079828, HPA044109: AB_2678813	Supported
HPA028910: 	Approved
HPA057016: 	Approved
HPA008393: AB_1079830	Approved
HPA065620: 	Supported
HPA049098: , HPA072424: 	Approved
HPA000234: AB_1079831, HPA000909: 	Approved
HPA031523: AB_10603235, HPA050778: 	Enhanced
CAB004563: AB_628224, HPA006914: AB_1856410, HPA046497: 	Enhanced
CAB016538: AB_670974, HPA026306: AB_10598913, HPA026309: AB_10601572	Enhanced
HPA023924: AB_10601890, HPA031526: AB_10601555	Approved
HPA041739: 	Approved
HPA046443: 	Supported
HPA038311: AB_10671527, HPA038312: AB_10672512	Enhanced
HPA036498: , HPA036499: AB_10670109	Approved
HPA036498: , HPA036499: AB_10670109	Approved
HPA024642: AB_1856428	Supported
HPA035475: AB_10669861	Supported
HPA001593: AB_1079835, HPA073455: 	Supported
HPA039405: AB_10794636, HPA040530: 	Supported
HPA042620: AB_10793980, HPA057954: 	Approved
CAB010339: AB_2181277, HPA011311: AB_1856431	Enhanced
HPA053803: 	Supported
HPA011311: AB_1856431	Approved
HPA002734: AB_1079838, HPA074839: 	Approved
HPA003403: AB_1856432	Approved
HPA051702: 	Enhanced
HPA038751: AB_10962004	Approved
HPA004136: AB_1079839	Supported
HPA043724: , HPA046385: 	Supported
HPA043724: , HPA046385: 	Supported
HPA046572: 	Supported
HPA055259: 	Approved
HPA043014: AB_10965840, HPA051987: 	Enhanced
HPA047252: 	Supported
HPA068294: 	Approved
HPA048060: , HPA056207: , HPA068294: 	Approved
HPA003373: AB_1856436	Supported
HPA051754: , HPA077474: 	Approved
HPA051653: 	Enhanced
CAB037301: AB_796168, HPA030449: AB_10602125	Supported
HPA030449: AB_10602125	Supported
HPA060776: , HPA063379: 	Enhanced
HPA050459: 	Supported
HPA069064: 	Supported
HPA003365: AB_1079841, HPA055361: 	Supported
HPA002651: AB_1079842	Approved
HPA047501: AB_2680070, HPA051994: AB_2681686	Approved
HPA035139: AB_10602925	Supported
HPA006047: AB_1856443	Approved
HPA047153: 	Uncertain
HPA063979: , HPA077586: 	Supported
HPA077586: 	Approved
HPA077586: 	Approved
HPA065327: 	Approved
HPA052543: 	Supported
HPA049136: 	Approved
HPA034600: AB_10601483	Supported
HPA053169: 	Supported
HPA043717: AB_10964719, HPA054444: 	Supported
HPA060903: , HPA068418: 	Approved
HPA058373: 	Approved
HPA046794: 	Approved
HPA046049: AB_10964167, HPA050478: 	Approved
HPA045095: AB_2679213, HPA050165: AB_2681038	Supported
HPA003372: AB_1079843	Supported
HPA003512: AB_1079844, HPA073501: 	Supported
HPA003368: AB_1079845	Supported
HPA053635: 	Approved
CAB009748: AB_2182230, HPA026828: AB_10610418, HPA051520: AB_2681521	Enhanced
CAB019277: , HPA008297: AB_1856457, HPA025922: AB_1856458	Supported
HPA036194: AB_10672082	Approved
HPA046900: AB_10962049	Supported
HPA052187: , HPA059698: 	Supported
HPA037578: AB_10696939	Approved
HPA045128: , HPA050398: 	Supported
HPA035685: , HPA035686: AB_10670153	Approved
HPA040602: AB_10673137	Supported
HPA066290: , HPA072645: 	Supported
HPA061693: 	Approved
HPA047268: , HPA048084: 	Approved
HPA047027: , HPA047268: , HPA048084: , HPA055953: 	Approved
HPA049719: 	Supported
HPA006124: AB_1856460, HPA006365: 	Supported
HPA005985: AB_10960703	Approved
HPA018504: AB_1856463	Supported
HPA054510: AB_2682510, HPA057793: AB_2683528	Approved
HPA064222: 	Supported
HPA055060: 	Approved
HPA050159: , HPA055007: 	Supported
HPA063217: 	Supported
HPA042874: AB_10793988	Approved
HPA055133: 	Approved
HPA003570: AB_1856466	Supported
HPA003371: AB_1079846	Supported
HPA054853: 	Enhanced
HPA003364: AB_1079847	Approved
HPA031801: AB_10610419	Approved
HPA043961: AB_10963579, HPA055803: 	Enhanced
HPA066851: 	Approved
CAB033319: AB_793618, HPA041344: , HPA049132: , HPA054087: 	Supported
HPA066851: 	Supported
HPA047132: AB_10962147	Approved
HPA004107: AB_1079848	Supported
HPA063339: 	Supported
HPA047100: AB_2679931, HPA053454: AB_2682156	Enhanced
HPA055878: AB_2682954, HPA061979: AB_2684650	Supported
CAB004027: AB_2238583, HPA031153: AB_10602245	Enhanced
CAB003852: AB_289590, HPA007981: AB_1079850	Supported
CAB026243: , CAB069428: AB_1622639, HPA045061: , HPA054237: 	Supported
CAB003853: AB_562343, CAB013520: AB_2533378, HPA003221: AB_1853553	Approved
CAB008649: AB_1619460, HPA023225: AB_1854144	Supported
CAB025458: , HPA001274: AB_1079417, HPA001780: 	Enhanced
HPA002852: AB_1079854, HPA003904: AB_1079853	Supported
CAB003838: AB_562325, CAB018346: AB_632156, HPA039442: 	Supported
CAB019404: AB_331355, HPA010010: AB_1856469	Supported
HPA026531: AB_10601497, HPA031565: 	Enhanced
HPA027451: AB_10599304, HPA027794: AB_10602098	Approved
HPA056586: 	Approved
HPA029266: AB_10601611	Enhanced
CAB009561: AB_2182543	Supported
CAB013514: AB_2533523, HPA064306: 	Enhanced
HPA041144: AB_10794265, HPA041938: AB_10795601	Approved
HPA042079: AB_10794643, HPA042194: AB_10794416	Approved
HPA037551: , HPA037552: AB_10672600	Approved
HPA039689: AB_10673537	Approved
HPA041755: 	Approved
HPA003734: AB_1079851	Approved
HPA003734: AB_1079851	Approved
HPA018247: AB_1856475, HPA055489: 	Supported
HPA068664: 	Approved
CAB010160: AB_2180086, CAB069439: AB_1622637, HPA060364: 	Approved
CAB010420: AB_2253855, HPA050942: 	Approved
HPA009026: AB_1079852, HPA011924: AB_1856476	Enhanced
HPA001756: AB_1856477, HPA034843: 	Supported
CAB022093: , HPA057265: , HPA064297: 	Enhanced
HPA056994: 	Supported
CAB006854: , HPA028812: AB_10602246	Supported
HPA049837: 	Supported
HPA047426: 	Approved
HPA016818: AB_1854561, HPA018166: AB_1854562	Enhanced
HPA049945: , HPA074403: 	Supported
HPA024639: AB_1844368	Approved
HPA017893: AB_1852274, HPA020324: AB_1852276	Enhanced
HPA029904: AB_10611817, HPA029905: 	Supported
HPA001586: AB_1078506, HPA046768: 	Approved
HPA038487: AB_10672518, HPA057562: 	Supported
HPA038798: AB_10672653	Supported
HPA055549: AB_2682846, HPA060937: AB_2684390	Enhanced
HPA022436: AB_2180789, HPA022967: AB_1856484	Approved
HPA041160: AB_10795489, HPA049409: 	Supported
HPA042124: AB_10794644, HPA049484: 	Supported
HPA020406: AB_1856488, HPA020413: AB_2253910	Supported
HPA027813: AB_10600308, HPA028676: AB_10600895	Supported
CAB022626: , HPA046129: , HPA057547: , HPA064567: 	Enhanced
HPA028453: AB_10601692, HPA041672: 	Enhanced
HPA043483: 	Enhanced
HPA062724: AB_2684850, HPA063392: AB_2685002	Enhanced
HPA016816: AB_1858393, HPA017382: AB_1858392	Supported
HPA018420: AB_1856496, HPA050425: 	Uncertain
HPA039109: AB_10794423, HPA040230: AB_10796119	Approved
HPA031196: AB_10601612, HPA031197: AB_10671097, HPA031198: AB_10670025	Approved
HPA044792: AB_10794502	Approved
HPA040070: AB_10673430, HPA048183: 	Approved
HPA058992: , HPA067651: 	Approved
HPA025927: AB_10610420	Approved
HPA052511: 	Approved
HPA027982: AB_10601769, HPA027990: AB_2672452, HPA028151: AB_10602099, HPA028331: 	Enhanced
HPA000535: , HPA001103: AB_1078351	Supported
HPA020622: , HPA067329: , HPA078328: 	Approved
HPA006714: AB_1079855	Approved
HPA053986: 	Approved
HPA030259: AB_10601484	Approved
HPA037946: AB_10795398, HPA038446: AB_10796218	Approved
HPA066979: , HPA077601: 	Approved
HPA051991: , HPA053174: , HPA075136: 	Approved
HPA003272: AB_2257414	Approved
HPA003652: AB_1079805	Approved
HPA005697: AB_1079244	Approved
CAB002745: , HPA040945: , HPA044249: 	Supported
HPA034941: AB_10671358, HPA034948: 	Approved
HPA015649: AB_1856498, HPA015650: AB_1856499	Supported
CAB005388: AB_2285559, HPA023977: 	Enhanced
CAB012443: 	Supported
HPA075932: 	Uncertain
HPA064887: , HPA071189: 	Supported
HPA039824: AB_10793922	Supported
HPA050908: , HPA054497: 	Supported
HPA026614: AB_10602693	Supported
HPA038804: AB_10673290	Supported
HPA039792: AB_10673363	Approved
HPA022952: , HPA022970: AB_1856307	Supported
HPA023726: AB_2184078	Approved
HPA023548: AB_1856069, HPA070733: AB_2732162	Approved
HPA004176: AB_1078412, HPA037912: 	Enhanced
HPA049852: , HPA070951: 	Supported
CAB008374: AB_590789, CAB062561: , CAB068226: , HPA022040: AB_1846086, HPA070715: 	Enhanced
CAB025416: , HPA004195: , HPA059006: 	Supported
HPA028510: AB_10599847, HPA029922: AB_10611390, HPA029923: AB_10602288	Enhanced
HPA019947: AB_1856516, HPA019948: AB_1856514	Supported
CAB012432: , HPA042880: AB_2678210, HPA067966: AB_2685933	Supported
HPA030105: AB_10599826, HPA030106: AB_10600896, HPA030107: AB_10601009	Approved
HPA036501: , HPA036502: AB_10670800	Approved
CAB004565: AB_2184877, CAB005352: AB_2184874	Supported
CAB002003: , HPA063653: 	Supported
CAB002615: , HPA012933: 	Approved
HPA064014: 	Approved
HPA053357: 	Supported
CAB034117: AB_2183048, HPA045503: , HPA075430: 	Approved
HPA056416: 	Approved
HPA020028: AB_1856528	Approved
HPA062004: 	Approved
CAB025484: , HPA003340: AB_1856531	Approved
CAB025494: , HPA019592: AB_10601499	Approved
HPA027613: AB_10602298	Approved
HPA045841: AB_10966282	Approved
CAB002600: , CAB047340: , HPA062451: 	Approved
HPA042674: AB_10796581, HPA056140: 	Enhanced
CAB002618: , CAB027387: , CAB058698: , CAB068227: , CAB068228: , HPA007973: AB_1079858	Enhanced
HPA064184: 	Approved
CAB002601: , CAB040549: , CAB047354: , HPA007575: AB_1079859	Enhanced
CAB001453: AB_564004, CAB033766: AB_2269963, HPA006997: AB_1079860	Uncertain
HPA006997: AB_1079860	Uncertain
CAB002791: , HPA024372: AB_1856536	Supported
CAB009441: AB_2184420, HPA004193: AB_1856537	Supported
CAB000073: AB_10013383, CAB078196: , HPA015768: AB_1856538	Supported
HPA019502: AB_1856530	Supported
HPA027242: , HPA027328: 	Supported
CAB010104: AB_2238920, HPA075568: 	Supported
HPA014255: , HPA014307: AB_1847989	Uncertain
HPA060601: , HPA067232: 	Supported
HPA039003: AB_2676303, HPA039004: AB_10673602	Supported
HPA042677: AB_10797506	Approved
HPA039573: AB_10674983, HPA069869: 	Approved
CAB001969: , HPA016832: AB_1850622, HPA020076: AB_1850624	Enhanced
HPA050894: 	Supported
HPA003033: AB_1079865, HPA003208: AB_1079863	Enhanced
HPA049829: , HPA074673: 	Approved
HPA004162: 	Approved
HPA015291: AB_1856548, HPA015791: AB_1856547	Enhanced
HPA041662: , HPA049059: 	Approved
HPA040973: AB_10794258	Approved
HPA030110: 	Approved
HPA024634: AB_1856549	Approved
HPA058929: 	Approved
HPA051916: 	Approved
HPA030673: AB_10600655, HPA030677: AB_10599938	Approved
HPA043061: , HPA065309: 	Approved
HPA016800: AB_1856552, HPA059385: 	Enhanced
HPA067811: 	Supported
HPA044402: 	Supported
HPA021318: AB_2183383, HPA021319: AB_1856554	Enhanced
HPA019461: AB_1856555, HPA019465: AB_2183384, HPA019488: AB_1856557	Approved
HPA047072: 	Supported
HPA034537: AB_10602794	Supported
HPA010645: AB_1856559, HPA017055: AB_1856560, HPA046639: 	Approved
HPA034664: AB_10603238	Supported
CAB012273: , HPA011352: AB_1856563	Supported
HPA062610: 	Approved
CAB022627: , HPA059012: 	Supported
HPA042382: AB_10793881, HPA052943: AB_2681995	Enhanced
HPA071699: 	Approved
HPA044154: AB_10959464	Supported
CAB022545: , HPA006923: AB_1856577, HPA048368: 	Supported
HPA006923: AB_1856577, HPA048368: 	Approved
HPA040400: 	Supported
HPA057267: , HPA058086: 	Approved
HPA024359: AB_1856582, HPA024759: AB_1856581	Approved
HPA030902: AB_10669872, HPA030903: AB_10964180	Supported
HPA016939: AB_1856585, HPA064668: 	Enhanced
HPA052730: , HPA056957: 	Uncertain
HPA031188: AB_10600092, HPA031189: AB_10601854, HPA031190: AB_10602289	Enhanced
HPA028840: , HPA044322: 	Supported
HPA029947: AB_10598915, HPA029949: AB_10602280	Approved
HPA001085: AB_2184289	Approved
HPA028187: AB_10602220	Supported
CAB056144: AB_10584780, HPA051769: 	Supported
CAB023669: AB_1129287, CAB062562: , CAB067751: , CAB068229: , CAB068230: , CAB068231: , HPA001042: AB_10601711, HPA029543: AB_10959737	Supported
HPA001808: 	Supported
HPA040487: AB_10796457, HPA040833: AB_10796561	Approved
HPA007959: AB_1078359	Supported
HPA028891: AB_10601500	Supported
HPA074004: 	Supported
HPA050933: 	Approved
HPA078322: 	Approved
HPA042388: AB_10795704	Approved
HPA062568: AB_2684794, HPA067734: AB_2685894	Approved
HPA029595: AB_10600763	Approved
HPA066283: , HPA070248: 	Approved
HPA046828: AB_10961907, HPA054593: 	Approved
HPA038862: AB_10672830, HPA045456: , HPA046345: 	Enhanced
HPA018319: AB_1856784, HPA018668: AB_1856783, HPA021504: AB_1856785, HPA028807: AB_10602927	Enhanced
HPA035601: AB_2674698, HPA035602: AB_10673220	Enhanced
HPA020632: AB_1845804	Supported
CAB079009: , HPA044753: 	Approved
HPA014699: AB_1856605, HPA019194: AB_1856604	Supported
HPA071167: 	Supported
HPA043284: AB_10806501	Approved
HPA047138: 	Supported
HPA046253: , HPA061180: 	Supported
HPA029861: , HPA047386: 	Supported
CAB070124: AB_10107658, HPA066285: , HPA072449: 	Approved
CAB015415: AB_831511, HPA018014: AB_1852881	Approved
HPA035079: AB_10670287	Approved
HPA050775: , HPA076030: 	Approved
HPA012107: AB_1856610, HPA063921: 	Enhanced
HPA039737: AB_10805485, HPA040154: AB_10795359	Supported
HPA003579: AB_1079872	Approved
HPA036526: AB_10673499, HPA036527: AB_2675175	Approved
HPA011893: AB_1856656, HPA075062: AB_2732277	Approved
CAB033274: AB_2302033, HPA006880: AB_1079898, HPA053715: 	Supported
HPA034584: AB_10602221	Approved
CAB004005: , CAB044060: , CAB062563: , CAB068232: , HPA006641: AB_1079874	Supported
HPA003243: AB_1079877, HPA069824: 	Approved
HPA020518: AB_1856619, HPA024264: AB_1856621	Enhanced
HPA055760: 	Approved
HPA048898: , HPA053292: 	Supported
HPA035270: AB_10672860, HPA035271: AB_10602795, HPA061397: 	Approved
HPA001662: AB_1079879, HPA064713: 	Approved
HPA063326: , HPA065958: 	Supported
HPA078664: 	Supported
HPA041707: 	Approved
HPA053992: 	Approved
HPA063346: 	Supported
CAB022169: , HPA043937: , HPA073590: 	Approved
CAB013679: , HPA061843: 	Approved
HPA052439: , HPA054324: 	Approved
HPA026884: AB_10601501	Supported
HPA071194: 	Supported
HPA046943: , HPA056254: 	Approved
HPA046943: , HPA056254: 	Approved
HPA061198: , HPA070321: 	Approved
HPA027101: AB_1856634, HPA027135: AB_1856633, HPA027317: AB_10610422	Supported
HPA039102: AB_10673605, HPA057200: 	Approved
CAB015463: AB_2238926, CAB022081: , HPA023557: , HPA064312: 	Enhanced
HPA024517: AB_2184811	Approved
HPA022934: AB_1856638, HPA023434: AB_1856639	Supported
HPA034689: , HPA034690: AB_10670574	Approved
HPA045265: AB_10959521	Supported
HPA067697: 	Approved
HPA040606: AB_10795383	Approved
HPA015015: AB_1856643	Supported
HPA005624: AB_1854916	Uncertain
HPA035949: AB_10673225	Supported
CAB002424: AB_442050, HPA006185: AB_1857705, HPA067477: 	Supported
CAB025123: , HPA044416: 	Approved
CAB025786: , HPA017087: AB_1857706, HPA048085: 	Approved
CAB013240: AB_2533250, HPA005716: AB_1080160	Approved
CAB012245: , HPA023840: AB_1857712	Supported
HPA054554: , HPA064490: 	Approved
HPA025737: , HPA044477: , HPA072495: 	Enhanced
HPA028467: AB_10599192, HPA031255: AB_10601462, HPA031256: AB_10603568	Supported
HPA042799: AB_10794533	Approved
CAB015227: , HPA011249: , HPA011895: 	Supported
CAB034929: AB_2183443, HPA041981: AB_2677779, HPA064582: AB_2685293	Supported
HPA064277: 	Approved
HPA039464: AB_10962146, HPA039732: AB_10962868	Approved
HPA020523: 	Approved
HPA031824: AB_10602113	Approved
CAB009822: AB_2183458, CAB068233: , CAB068234: , CAB068235: , HPA002868: AB_1079889	Supported
HPA011392: AB_1856648	Approved
HPA014725: AB_2183303	Approved
HPA044294: AB_10961400	Approved
HPA039230: AB_10674281	Approved
HPA005740: AB_10601486	Approved
HPA047533: 	Approved
HPA026816: AB_10602089, HPA047533: 	Approved
HPA035292: AB_10959451, HPA057943: 	Supported
HPA021463: , HPA028703: AB_10602300	Supported
HPA064466: 	Supported
HPA069748: 	Approved
HPA041492: AB_10794519, HPA041825: AB_10794526	Uncertain
HPA067695: 	Approved
HPA005684: AB_1079189	Supported
HPA054292: , HPA072913: 	Approved
HPA031242: 	Approved
HPA043806: , HPA069974: 	Approved
HPA008216: AB_1079895, HPA069974: 	Supported
HPA038403: AB_10675796, HPA043305: AB_2678416	Enhanced
HPA038901: AB_10674843, HPA056825: 	Approved
HPA038181: AB_10672472	Approved
HPA040196: AB_10796449, HPA040213: AB_10796451	Supported
HPA041626: AB_10796348, HPA053486: 	Approved
HPA005457: AB_1079896	Supported
HPA035882: AB_10795246, HPA040819: AB_10794151, HPA060052: 	Supported
CAB022076: 	Supported
HPA049407: 	Supported
HPA014059: AB_1858029, HPA061450: 	Approved
HPA053295: , HPA060535: 	Supported
HPA044314: AB_10964885, HPA054905: 	Supported
HPA039875: AB_10673365	Approved
HPA040045: AB_10796116, HPA058792: 	Enhanced
CAB008366: AB_592677, HPA005741: AB_1856662, HPA011731: AB_1856663	Supported
HPA054937: 	Approved
HPA048362: 	Approved
HPA008196: AB_1856665	Approved
CAB008667: AB_1622762, HPA019601: AB_1856666	Approved
HPA058076: 	Supported
HPA036287: AB_10794618	Approved
