To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
894,G05,G05_6734,HPA003323,TXNRD2,Q9NNW7,144.93,thioredoxin reductase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000184470,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto);Cytosol - 12: Uncertain (auto),2:Supportive,Mitochondria,Cytosol,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
895,H05,H05_6734,HPA003328,UBE2L6,O14933,17.68,ubiquitin conjugating enzyme E2 L6,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000156587,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
896,A06,A06_6734,HPA003336,DUSP9,Q99956,7.78,dual specificity phosphatase 9,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000130829,Christian,,1000: Finished IF,Endoplasmic reticulum - 5: Approved (auto);Nucleoplasm - 12: Uncertain (auto),3:Approved,Endoplasmic reticulum,Nucleoplasm,,,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
897,B06,B06_6734,HPA003479,ELF3,P78545,0.70,E74 like ETS transcription factor 3,Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000163435,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Cytosol - 3: Supportive (auto),2:Supportive,Nucleoplasm,Cytosol,,Nucleoplasm,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
898,C06,C06_6734,HPA003524,CTSH,P09668,6.27,cathepsin H,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000103811,Christian,,1000: Finished IF,Vesicles - 3: Supportive (auto);Cytoplasmic bodies - 3: Supportive (manual);Cytosol - 12: Uncertain (auto),2:Supportive,Vesicles;Cytoplasmic bodies,Cytosol,,,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
899,D06,D06_6734,HPA003868,MIF,P14174,269.93,macrophage migration inhibitory factor,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000240972,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Cytosol,Nucleoplasm,,Cytosol,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
900,E06,E06_6734,HPA003884,NDUFS4,O43181,102.45,NADH:ubiquinone oxidoreductase subunit S4,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000164258,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
901,F06,F06_6734,HPA003886,NDUFB8,O95169,167.60,NADH:ubiquinone oxidoreductase subunit B8,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000166136,Christian,,1000: Finished IF,Mitochondria - 2 [7]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
902,G06,G06_6734,HPA004119,PYGL,P06737,50.14,glycogen phosphorylase L,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100504,Christian,,1000: Finished IF,Plasma membrane - 7: Approved (auto);Cytosol - 7: Approved (auto),3:Approved,Plasma membrane;Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
903,H06,H06_6734,HPA004126,LAMTOR2,Q9Y2Q5,51.16,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000116586,Diana,,1000: Finished IF,Vesicles - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Vesicles,Nucleoplasm,,Vesicles,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.
904,A07,A07_6734,HPA004186,GIT1,Q9Y2X7,40.52,GIT ArfGAP 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000108262,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Focal adhesion sites - 3: Supportive (manual);Mitochondria - 12: Uncertain (manual),2:Supportive,Focal adhesion sites;Cytosol,Mitochondria,,Mitochondria,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
905,B07,B07_6734,HPA004428,ACAT1,P24752,45.01,acetyl-CoA acetyltransferase 1,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Plasma proteins by Leigh Anderson;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000075239,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
906,C07,C07_6734,HPA004790,MCM3,P25205,172.11,minichromosome maintenance complex component 3,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000112118,Christian,,1000: Finished IF,Centrosome - 12: Uncertain (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm;Centrosome,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.
907,D07,D07_6734,HPA004818,MCM6,Q14566,51.14,minichromosome maintenance complex component 6,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000076003,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (manual),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
908,E07,E07_6734,HPA004827,USP13,Q92995,24.50,ubiquitin specific peptidase 13,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000058056,Christian,,1000: Finished IF,Cytosol - 7: Approved (?);Nucleoplasm - 7: Approved (?),3:Approved,Nucleoplasm;Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
909,F07,F07_6734,HPA004873,MCM4,P33991,139.68,minichromosome maintenance complex component 4,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000104738,Christian,,1000: Finished IF,Nucleoplasm - 2 [7]: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,3:Significant downregulation > 25% by one siRNA.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
910,G07,G07_6734,HPA005157,TYK2,P29597,24.17,tyrosine kinase 2,Cytoskeleton related proteins;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);SH2-domain containing proteins,ENSG00000105397,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
911,H07,H07_6734,HPA005466,MYBBP1A,Q9BQG0,30.90,MYB binding protein 1a,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000132382,Christian,,1000: Finished IF,Nucleoli - 3: Supportive (auto);Vesicles - 5: Approved (auto),2:Supportive,Nucleoli,Vesicles,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
912,A08,A08_6734,HPA005525,PRMT5,O14744,114.28,protein arginine methyltransferase 5,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100462,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm;Cytosol,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
913,B08,B08_6734,HPA005565,CDCA7,Q9BWT1,17.65,cell division cycle associated 7,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000144354,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Cytosol - 3: Supportive (auto),2:Supportive,Nucleoplasm,Cytosol,,Nucleoplasm,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
914,C08,C08_6734,HPA005640,NDUFB5,O43674,61.13,NADH:ubiquinone oxidoreductase subunit B5,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000136521,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Mitochondria,Nucleoplasm,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
915,D08,D08_6734,HPA005729,GALT,P07902,3.81,galactose-1-phosphate uridylyltransferase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000213930,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,7:Only bands not corresponding to the predicted size.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
916,E08,E08_6734,HPA005757,ZWINT,O95229,196.13,ZW10 interacting kinetochore protein,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000122952,Diana,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto);Cytosol - 6 [12]: Approved (auto);Nuclear bodies - 6 [12]: Approved (auto),2:Supportive,Nucleoplasm,Nuclear bodies;Cytosol,,Nucleoplasm;Nuclear bodies;Cytosol,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,4:No bands detected.
917,F08,F08_6734,HPA005821,USP40,Q9NVE5,13.91,ubiquitin specific peptidase 40,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000085982,Christian,,1000: Finished IF,Vesicles - 7: Approved (auto);Focal adhesion sites - 7: Approved (auto),3:Approved,Vesicles,Focal adhesion sites,,,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
918,G08,G08_6734,HPA005855,CDC25A,P30304,29.29,cell division cycle 25A,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000164045,Christian,,1000: Finished IF,Golgi apparatus - 7: Approved (auto);Vesicles - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Golgi apparatus,Nucleoplasm;Vesicles,,,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
919,H08,H08_6734,HPA018156,CTSB,P07858,372.62,cathepsin B,Cancer-related genes;Candidate cardiovascular disease genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000164733,Christian,,1000: Finished IF,Nucleoli - 12: Uncertain (auto);Vesicles - 3: Supportive (auto),2:Supportive,Nucleoli;Vesicles,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,4:No bands detected.
920,A09,A09_6734,HPA018910,ETFB,P38117,68.69,electron transfer flavoprotein beta subunit,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000105379,Christian,,1000: Finished IF,Mitochondria - 2 [7]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
921,B09,B09_6734,HPA020344,CWC27,Q6UX04,39.21,CWC27 spliceosome associated protein homolog,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000153015,Christian,,1000: Finished IF,Nucleoplasm - 2 [7]: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,1:Significant downregulation > 25% by both siRNA:s.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
922,C09,C09_6734,HPA020876,SRPK2,P78362,48.15,SRSF protein kinase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000135250,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Cytosol,Nucleoplasm,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
923,D09,D09_6734,HPA022476,ECHS1,P30084,93.57,"enoyl-CoA hydratase, short chain 1",Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000127884,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
924,E09,E09_6734,HPA023204,PNPO,Q9NVS9,13.37,pyridoxamine 5'-phosphate oxidase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000108439,Christian,,1000: Finished IF,Cytosol - 2 [7]: Supportive (auto);Nucleoplasm - 2 [7]: Supportive (auto),2:Supportive,Nucleoplasm;Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,6:Weak band of predicted size but with additional bands of higher intensity also present.
925,F09,F09_6734,HPA027317,SCP2,P22307,66.75,sterol carrier protein 2,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000116171,Christian,,1000: Finished IF,Peroxisomes - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Peroxisomes,Nucleoplasm,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
926,G09,G09_6734,HPA028482,TFB2M,Q9H5Q4,22.77,"transcription factor B2, mitochondrial",Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000162851,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (?),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
927,H09,H09_6734,HPA029481,TKT,P29401,173.10,transketolase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000163931,Christian,,1000: Finished IF,Nucleoplasm - 2 [7]: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,1:Significant downregulation > 25% by both siRNA:s.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
928,A10,A10_6734,HPA029544,DIO2,Q92813,7.78,iodothyronine deiodinase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins,ENSG00000211448,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Cytosol,Nucleoplasm,,,,,,7:Only bands not corresponding to the predicted size.,,
929,B10,B10_6734,HPA029954,CMTR1,Q8N1G2,32.00,cap methyltransferase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000137200,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
930,C10,C10_6734,HPA030960,RECQL,P46063,73.54,RecQ like helicase,Cancer related proteins;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000004700,Christian,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
931,D10,D10_6734,HPA034503,DDX1,Q92499,147.25,DEAD-box helicase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000079785,Christian,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto);Cytosol - 1 [3]: Supportive (auto),2:Supportive,Nucleoplasm,Cytosol,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
932,E10,E10_6734,HPA034603,PNPT1,Q8TCS8,4.65,polyribonucleotide nucleotidyltransferase 1,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000138035,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto);Cytosol - 3: Supportive (auto),2:Supportive,Mitochondria,Cytosol,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
933,F10,F10_6734,HPA035174,PRKDC,P78527,80.82,"protein kinase, DNA-activated, catalytic polypeptide",Cancer-related genes;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000253729,Christian,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,1:Significant downregulation > 25% by both siRNA:s.,8:Target too small/large to be analyzed with the present setup.,,
934,G10,G10_6734,HPA035574,SETD5,Q9C0A6,46.22,SET domain containing 5,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000168137,Christian,,1000: Finished IF,Nucleoplasm - 7: Approved (auto),3:Approved,Nucleoplasm,,,,,,3:Significant downregulation > 25% by one siRNA.,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
935,H10,H10_6734,HPA036681,PLCG1,P19174,42.47,phospholipase C gamma 1,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);RAS pathway related proteins;SH2-domain containing proteins;SH3-domain containing proteins,ENSG00000124181,Christian,,1000: Finished IF,Cytosol - 6 [12]: Approved (auto),3:Approved,Cytosol,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
936,A11,A11_6734,HPA037559,MKRN2,Q9H000,30.19,makorin ring finger protein 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000075975,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto);Nucleoli - 7: Approved (auto),3:Approved,Cytosol,Nucleoli,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
